XPOS,YPOS,TYPE,OBJECT
1099,420,0,W
1129,420,0,W
1159,420,0,W
1189,420,0,W
1219,420,0,W
1249,420,0,W
1279,420,0,W
1309,420,0,W
1339,420,0,W
1099,450,0,W
1099,480,0,W
1099,510,0,W
1099,540,0,W
1099,570,0,W
1699,420,0,W
1729,420,0,W
1759,420,0,W
1789,420,0,W
1819,420,0,W
1849,420,0,W
1849,450,0,W
1819,480,0,W
1849,480,0,W
1819,510,0,W
1819,540,0,W
1819,570,0,W
1819,600,0,W
1819,630,0,W
1819,660,0,W
1819,690,0,W
1069,1020,0,W
1069,1050,0,W
1069,1080,0,W
1069,1110,0,W
1069,1140,0,W
1069,1170,0,W
1069,1200,0,W
1099,1200,0,W
1129,1200,0,W
1159,1200,0,W
1189,1200,0,W
1249,1200,0,W
1279,1200,0,W
1309,1200,0,W
1339,1200,0,W
1819,1050,0,W
1819,1080,0,W
1819,1110,0,W
1819,1140,0,W
1579,1170,0,W
1609,1170,0,W
1669,1170,0,W
1699,1170,0,W
1729,1170,0,W
1759,1170,0,W
1789,1170,0,W
1819,1170,0,W
1579,1200,0,W
1609,1200,0,W
1639,1200,0,W
1669,1200,0,W
1699,1200,0,W
1729,1200,0,W
1759,1200,0,W
1789,1200,0,W
1819,1200,0,W
1309,510,1,W
1339,510,1,W
1369,510,1,W
1399,510,1,W
1429,510,1,W
1459,510,1,W
1489,510,1,W
1519,510,1,W
1549,510,1,W
1579,510,1,W
1309,540,1,W
1339,540,1,W
1579,540,1,W
1609,540,1,W
1189,630,1,W
1219,630,1,W
1159,660,1,W
1189,660,1,W
1159,690,1,W
1159,720,1,W
1159,750,1,W
1159,780,1,W
1159,810,1,W
1129,840,1,W
1159,840,1,W
1129,870,1,W
1159,870,1,W
1129,900,1,W
1159,900,1,W
1129,930,1,W
1159,930,1,W
1159,960,1,W
1189,960,1,W
1159,990,1,W
1189,990,1,W
1699,690,1,W
1729,690,1,W
1729,720,1,W
1729,750,1,W
1729,780,1,W
1729,810,1,W
1729,840,1,W
1729,870,1,W
1699,900,1,W
1699,930,1,W
1669,960,1,W
1699,960,1,W
1639,990,1,W
1669,990,1,W
1549,1050,1,W
1579,1050,1,W
1549,1080,1,W
1579,1080,1,W
1339,1110,1,W
1369,1110,1,W
1399,1110,1,W
1429,1110,1,W
1459,1110,1,W
1489,1110,1,W
1519,1110,1,W
1549,1110,1,W
1309,1050,1,W
1309,1080,1,W
1339,1080,1,W
1279,630,2,W
1309,630,2,W
1279,660,2,W
1279,690,2,W
1279,720,2,W
1279,750,2,W
1279,780,2,W
1279,810,2,W
1279,840,2,W
1279,870,2,W
1279,900,2,W
1279,930,2,W
1399,660,2,W
1429,660,2,W
1459,660,2,W
1399,690,2,W
1369,720,2,W
1399,720,2,W
1369,750,2,W
1369,780,2,W
1339,810,2,W
1369,810,2,W
1339,840,2,W
1369,840,2,W
1339,870,2,W
1339,900,2,W
1339,930,2,W
1339,960,2,W
1339,990,2,W
1549,660,2,W
1519,690,2,W
1549,690,2,W
1519,720,2,W
1489,750,2,W
1519,750,2,W
1489,780,2,W
1489,810,2,W
1459,840,2,W
1489,840,2,W
1459,870,2,W
1459,900,2,W
1459,930,2,W
1459,960,2,W
1459,990,2,W
1579,720,2,W
1609,720,2,W
1549,750,2,W
1579,750,2,W
1549,780,2,W
1549,810,2,W
1549,840,2,W
1549,870,2,W
1549,900,2,W
1549,930,2,W
1549,960,2,W
1549,990,2,W
1699,720,2,W
1699,750,2,W
1699,780,2,W
1669,810,2,W
1699,810,2,W
1639,840,2,W
1669,840,2,W
1639,870,2,W
1069,360,0,S
1099,360,0,S
1039,390,0,S
1039,1230,1,S
1069,1230,1,S
1099,1230,1,S
1879,570,2,S
1909,750,2,S
1879,1110,2,S
1309,600,0,C
1549,600,0,C
1729,600,0,C
1609,810,0,C
1579,870,0,C
1579,990,0,C
1609,990,0,C
1489,1020,0,C
1519,1020,0,C
1399,1020,0,C
1399,960,0,C
1279,960,0,C
1309,960,0,C
1279,1020,0,C
1219,1050,0,C
1459,390,1,D
1549,390,1,D
1369,1230,0,H
1399,1230,0,H
1429,1230,0,H
1489,1230,0,H
1459,1230,0,H
1039,720,0,E
1039,750,0,E
1039,810,0,E
1039,780,0,E
1039,840,0,E
2,2,0,Z
