XPOS,YPOS,TYPE,OBJECT
2045,567,0,W
2105,567,0,W
1865,597,0,W
1895,597,0,W
1955,597,0,W
2045,597,0,W
2105,597,0,W
1685,627,0,W
1775,627,0,W
1595,657,0,W
1625,657,0,W
1565,687,0,W
1535,747,0,W
2165,777,0,W
1535,807,0,W
2165,837,0,W
1505,897,0,W
2165,897,0,W
1475,927,0,W
1505,927,0,W
2165,957,0,W
1475,1017,0,W
2165,1017,0,W
1475,1047,0,W
1475,1077,0,W
2165,1077,0,W
1475,1137,0,W
2135,1137,0,W
1475,1167,0,W
1475,1197,0,W
2135,1197,0,W
2135,1227,0,W
1505,1257,0,W
1505,1287,0,W
2105,1287,0,W
1535,1317,0,W
1565,1347,0,W
1595,1347,0,W
2075,1347,0,W
1595,1377,0,W
1625,1377,0,W
1655,1377,0,W
2045,1377,0,W
1625,1407,0,W
1655,1407,0,W
1685,1407,0,W
1715,1407,0,W
1745,1407,0,W
2015,1407,0,W
1715,1437,0,W
1745,1437,0,W
1775,1437,0,W
1805,1437,0,W
1865,1437,0,W
1895,1437,0,W
1925,1437,0,W
1955,1437,0,W
1655,777,0,W
1685,777,0,W
1715,777,0,W
1745,777,0,W
1775,777,0,W
1805,777,0,W
1835,777,0,W
1865,777,0,W
1895,777,0,W
1925,777,0,W
1955,777,0,W
1985,777,0,W
1595,807,0,W
1625,807,0,W
1655,807,0,W
1595,837,0,W
1595,867,0,W
1595,897,0,W
1625,897,0,W
1625,927,0,W
1655,927,0,W
1685,957,0,W
1715,957,0,W
1745,957,0,W
1775,987,0,W
1805,987,0,W
1835,987,0,W
1835,1017,0,W
1865,1017,0,W
1895,1017,0,W
1925,1017,0,W
1925,1047,0,W
1955,1047,0,W
1955,1077,0,W
1985,1077,0,W
1985,1107,0,W
1625,1137,0,W
1985,1137,0,W
1685,1167,0,W
1715,1167,0,W
1955,1167,0,W
1985,1167,0,W
1685,1197,0,W
1715,1197,0,W
1775,1197,0,W
1805,1197,0,W
1835,1197,0,W
1865,1197,0,W
1895,1197,0,W
1925,1197,0,W
1955,1197,0,W
1805,1227,0,W
1835,1227,0,W
1865,1227,0,W
1895,1227,0,W
1355,1407,1,W
1385,1407,1,W
1415,1407,1,W
1325,1437,1,W
1355,1437,1,W
1385,1437,1,W
1445,1437,1,W
1445,1467,1,W
1475,1467,1,W
1295,1497,1,W
1355,1497,1,W
1415,1497,1,W
1445,1497,1,W
1295,1527,1,W
1355,1527,1,W
1415,1527,1,W
1445,1527,1,W
1325,1557,1,W
1355,1557,1,W
1385,1557,1,W
1415,1557,1,W
1475,1587,1,W
1505,1587,1,W
1355,1617,1,W
1415,1617,1,W
1475,1617,1,W
2405,1347,2,W
2375,1377,2,W
2405,1377,2,W
2405,1407,2,W
2435,1407,2,W
2345,1437,2,W
2405,1437,2,W
2345,1467,2,W
2375,1467,2,W
2315,1497,2,W
2345,1497,2,W
2375,1497,2,W
2375,1527,2,W
2405,1527,2,W
2225,1557,2,W
2285,1557,2,W
2375,1557,2,W
2255,1587,2,W
2285,1587,2,W
2315,1587,2,W
2345,1617,2,W
1385,507,0,S
1325,777,0,S
1355,1047,0,S
2255,537,1,S
2435,1047,1,S
2225,1317,1,S
2045,927,2,S
2075,1167,2,S
1865,1317,2,S
1835,1107,2,M
1625,1557,0,H
1655,1557,0,H
1685,1557,0,H
1715,1557,0,H
1745,1557,0,H
1775,1557,0,H
1805,1557,0,H
1835,1557,0,H
1865,1557,0,H
1895,1557,0,H
1895,477,0,E
1715,507,0,E
1775,507,0,E
1835,507,0,E
1895,507,0,E
2345,657,0,N
2195,687,0,N
2045,777,0,N
1445,687,0,I
1445,717,0,I
1415,867,0,I
2285,777,0,V
2255,957,0,V
2255,987,0,V
1,1,0,Z
