XPOS,YPOS,TYPE,OBJECT
1279,420,0,W
1309,420,0,W
1339,420,0,W
1369,420,0,W
1399,420,0,W
1429,420,0,W
1459,420,0,W
1489,420,0,W
1519,420,0,W
1159,450,0,W
1189,450,0,W
1219,450,0,W
1249,450,0,W
1279,450,0,W
1159,480,0,W
1129,510,0,W
1129,540,0,W
1099,570,0,W
1129,570,0,W
1099,600,0,W
1129,600,0,W
1759,420,0,W
1789,420,0,W
1789,450,0,W
1819,450,0,W
1849,480,0,W
1879,510,0,W
1909,510,0,W
1879,540,0,W
1909,540,0,W
1879,570,0,W
1909,570,0,W
1879,600,0,W
1909,600,0,W
1879,630,0,W
1909,630,0,W
1879,660,0,W
1879,690,0,W
1879,720,0,W
1849,1050,0,W
1849,1080,0,W
1849,1110,0,W
1819,1140,0,W
1789,1170,0,W
1819,1170,0,W
1699,1200,0,W
1729,1200,0,W
1609,1230,0,W
1639,1230,0,W
1069,1020,0,W
1099,1020,0,W
1099,1050,0,W
1099,1080,0,W
1129,1080,0,W
1159,1110,0,W
1189,1140,0,W
1249,1170,0,W
1339,1200,0,W
1399,1230,0,W
1459,1230,0,W
1489,1230,0,W
1159,690,1,W
1129,720,1,W
1159,720,1,W
1129,750,1,W
1159,750,1,W
1129,780,1,W
1129,810,1,W
1129,840,1,W
1129,870,1,W
1159,870,1,W
1129,900,1,W
1159,900,1,W
1189,900,1,W
1219,900,1,W
1249,900,1,W
1189,690,1,W
1219,690,1,W
1249,690,1,W
1279,690,1,W
1639,690,1,W
1669,690,1,W
1699,690,1,W
1729,690,1,W
1729,720,1,W
1729,750,1,W
1729,780,1,W
1729,810,1,W
1759,810,1,W
1729,840,1,W
1759,840,1,W
1729,870,1,W
1759,870,1,W
1609,900,1,W
1639,900,1,W
1669,900,1,W
1699,900,1,W
1729,900,1,W
1369,540,1,W
1399,540,1,W
1429,540,1,W
1459,540,1,W
1489,540,1,W
1519,540,1,W
1339,570,1,W
1369,570,1,W
1519,570,1,W
1549,570,1,W
1579,570,1,W
1339,600,1,W
1549,600,1,W
1579,600,1,W
1339,630,1,W
1549,630,1,W
1579,630,1,W
1309,930,1,W
1309,960,1,W
1549,960,1,W
1579,960,1,W
1309,990,1,W
1579,990,1,W
1309,1020,1,W
1579,1020,1,W
1309,1050,1,W
1339,1050,1,W
1579,1050,1,W
1609,1050,1,W
1339,1080,1,W
1369,1080,1,W
1579,1080,1,W
1609,1080,1,W
1369,1110,1,W
1399,1110,1,W
1429,1110,1,W
1459,1110,1,W
1489,1110,1,W
1519,1110,1,W
1549,1110,1,W
1579,1110,1,W
1489,1140,1,W
1519,1140,1,W
1369,690,2,W
1399,690,2,W
1429,690,2,W
1459,690,2,W
1339,720,2,W
1369,720,2,W
1459,720,2,W
1489,720,2,W
1519,720,2,W
1339,750,2,W
1519,750,2,W
1549,750,2,W
1339,780,2,W
1549,780,2,W
1339,810,2,W
1549,810,2,W
1339,840,2,W
1549,840,2,W
1339,870,2,W
1369,870,2,W
1399,870,2,W
1429,870,2,W
1459,870,2,W
1489,870,2,W
1519,870,2,W
1549,870,2,W
1249,480,0,S
1219,510,0,S
1249,510,0,S
1729,480,1,S
1729,510,1,S
1759,510,1,S
1459,1170,2,S
1489,1170,2,S
1459,1200,2,S
1429,780,2,M
1219,810,0,H
1339,660,0,H
1459,630,0,H
1609,750,0,H
1669,810,0,H
1819,870,0,H
1729,1050,0,H
1729,1080,0,H
1279,1110,0,H
1159,1020,0,H
1399,990,0,E
1399,1020,0,E
1429,1020,0,E
1459,1020,0,E
1459,1050,0,E
1219,600,0,N
1729,600,0,N
1129,990,0,N
1639,930,0,I
1639,960,0,I
1729,1110,0,I
1399,810,0,V
1399,840,0,V
1,1,0,Z
